time,x,y,yaw
418.84,2.963517355596182e-14,1.552209932030403e-30,-9.26075861029358e-16
418.86,2.9635177888060055e-14,1.5522059201830606e-30,-9.260702071627967e-16
418.88,2.9635180251754403e-14,1.552203731247217e-30,-9.260703673810777e-16
418.9,2.9635183387310096e-14,1.5522008274943236e-30,-9.260884354373511e-16
418.92,2.963518493753143e-14,1.5521993918612259e-30,-9.260784186110445e-16
418.94,2.963518517746508e-14,1.552199169668717e-30,-9.260852111136619e-16
418.96,2.963518866576186e-14,1.5521959392122481e-30,-9.260788981374533e-16
418.98,2.963519349057247e-14,1.5521914710241977e-30,-9.260912023420008e-16
419.0,2.963519593716259e-14,1.5521892052522312e-30,-9.260926425185603e-16
419.02,2.963519451718718e-14,1.5521905202833716e-30,-9.261066616935733e-16
419.04,2.963519590803585e-14,1.5521892321955406e-30,-9.26092166764074e-16
419.06,2.963519692557094e-14,1.55218828986335e-30,-9.260913685056424e-16
419.08,2.9635196272264355e-14,1.5521888949267458e-30,-9.261154371765952e-16
419.1,2.963519698343515e-14,1.5521882362989683e-30,-9.261072167045202e-16
419.12,2.9635202053489496e-14,1.5521835408855751e-30,-9.261123444616158e-16
419.14,2.963520421545871e-14,1.5521815386777668e-30,-9.260994697695224e-16
419.16,2.963520333192055e-14,1.5521823569303539e-30,-9.260909845040572e-16
419.18,2.963520561641709e-14,1.5521802412831639e-30,-9.260955022169656e-16
419.2,2.9635208574435755e-14,1.5521775018791494e-30,-9.260914034311968e-16
419.22,2.963521161879268e-14,1.5521746825354904e-30,-9.260924751474882e-16
419.24,2.963521165187639e-14,1.552174651895746e-30,-9.260613002919145e-16
419.26,2.963521290880364e-14,1.5521734879080525e-30,-9.260457265857872e-16
419.28,2.963521808670836e-14,1.5521686929649874e-30,-9.260438334265842e-16
419.3,2.9635225084921314e-14,1.5521622122667929e-30,-9.260507379812923e-16
419.32,2.963522567465334e-14,1.5521616661383996e-30,-9.260525078293085e-16
419.34,2.9635226409160015e-14,1.552160985943142e-30,-9.260526306409255e-16
419.36,2.9635226219512994e-14,1.552161161565231e-30,-9.260435015117964e-16
419.38,2.963523248171765e-14,1.5521553624599875e-30,-9.260546196706783e-16
419.4,2.9635232311541373e-14,1.5521555200620177e-30,-9.260556293085546e-16
419.42,2.9635233832588393e-14,1.5521541114991006e-30,-9.260458599878303e-16
419.44,2.963523262798497e-14,1.5521552270289285e-30,-9.26061907866683e-16
419.46,2.9635231242457694e-14,1.5521565101185846e-30,-9.260601130452712e-16
419.48,2.9635232927859485e-14,1.5521549493345999e-30,-9.260593201301731e-16
419.5,2.963523514288602e-14,1.5521528980697194e-30,-9.260674078341178e-16
419.52,2.963523811326428e-14,1.552150147303308e-30,-9.260586507465907e-16
419.54,2.9635240365299914e-14,1.552148061777028e-30,-9.260546223530893e-16
