time,x,y,yaw
25.6,2.958662713966009e-14,1.5977875002781242e-30,-9.491973407443386e-16
25.62,2.958662704173045e-14,1.5977875932218534e-30,-9.492064554230505e-16
25.64,2.958662357615834e-14,1.5977908827580754e-30,-9.492059957000322e-16
25.66,2.958662314810674e-14,1.5977912890676844e-30,-9.492112588501296e-16
25.68,2.958662620116644e-14,1.5977883910718196e-30,-9.492051952960094e-16
25.7,2.958662759953404e-14,1.5977870637333873e-30,-9.492041086200596e-16
25.72,2.958662733243188e-14,1.5977873172614917e-30,-9.492061053714196e-16
25.74,2.9586632339518524e-14,1.5977825644948947e-30,-9.492078441370381e-16
25.76,2.9586633484441915e-14,1.5977814777106088e-30,-9.492150864677548e-16
25.78,2.95866355512742e-14,1.597779515819198e-30,-9.492224293443e-16
25.8,2.958663747207099e-14,1.5977776925477614e-30,-9.492151642370391e-16
25.82,2.958664041072521e-14,1.5977749031328225e-30,-9.492163506040867e-16
25.84,2.958664432524633e-14,1.5977711873866636e-30,-9.492186184401289e-16
25.86,2.95866492724934e-14,1.59776649136658e-30,-9.492165025507824e-16
25.88,2.9586653594347124e-14,1.5977623889433558e-30,-9.492279653647608e-16
25.9,2.958665722103117e-14,1.597758946421263e-30,-9.492162506375187e-16
25.92,2.958666033210575e-14,1.5977559933248443e-30,-9.492200454306574e-16
25.94,2.9586665306329814e-14,1.597751271716899e-30,-9.492156997467765e-16
25.96,2.958666856518689e-14,1.5977481783696252e-30,-9.491980999521517e-16
25.98,2.958667192191294e-14,1.5977449921634216e-30,-9.492027698109274e-16
26.0,2.958667464201851e-14,1.5977424102537084e-30,-9.491999997026662e-16
26.02,2.9586676595005585e-14,1.59774055647441e-30,-9.492004704610754e-16
26.04,2.958668132129508e-14,1.5977360702842607e-30,-9.491971353002833e-16
26.06,2.958668338151465e-14,1.5977341147254014e-30,-9.491983191149872e-16
26.08,2.958668615609407e-14,1.597731481142035e-30,-9.491802746468855e-16
26.1,2.958669000620613e-14,1.5977278266909128e-30,-9.491773597997191e-16
26.12,2.9586695772193447e-14,1.597722353812248e-30,-9.491659400845094e-16
26.14,2.9586698051336586e-14,1.5977201905213473e-30,-9.491552908683157e-16
26.16,2.958669842328887e-14,1.59771983747295e-30,-9.491672465967768e-16
26.18,2.9586704026193215e-14,1.5977145193910922e-30,-9.491629344282668e-16
26.2,2.9586706176450265e-14,1.597712478444309e-30,-9.49165179678669e-16
26.22,2.9586710559176886e-14,1.597708318546765e-30,-9.491525883861022e-16
26.24,2.958671223885735e-14,1.597706724284704e-30,-9.491429575573566e-16
26.26,2.958671259024864e-14,1.5977063907503838e-30,-9.491267978945155e-16
26.28,2.958671655151812e-14,1.5977026310061947e-30,-9.491224966959842e-16
26.3,2.9586719817118326e-14,1.5976995315540666e-30,-9.491165949676383e-16
26.32,2.958672609999491e-14,1.597693568371609e-30,-9.491069715545166e-16
26.34,2.958672844620936e-14,1.5976913415905268e-30,-9.490934538352516e-16
26.36,2.958673052423465e-14,1.5976893693466417e-30,-9.490978238810505e-16
26.38,2.958673735066244e-14,1.597682890376021e-30,-9.491135948760205e-16
26.4,2.958673932756804e-14,1.5976810140746084e-30,-9.491142100577748e-16
26.42,2.9586742745844556e-14,1.5976777697682562e-30,-9.491037594290782e-16
26.44,2.9586740557699237e-14,1.5976798465398602e-30,-9.490997487323301e-16
26.46,2.958674255967351e-14,1.5976779464641338e-30,-9.49102154752285e-16
26.48,2.9586744659848784e-14,1.5976759531909282e-30,-9.490978542249796e-16
26.5,2.958674791508711e-14,1.5976728636399684e-30,-9.49107632540501e-16
26.52,2.958674983969438e-14,1.5976710369711818e-30,-9.49105971421578e-16
26.54,2.9586749279273675e-14,1.597671568876831e-30,-9.491020550800725e-16
26.56,2.9586752325493856e-14,1.5976686777056056e-30,-9.491015636951595e-16
26.58,2.9586756516874054e-14,1.597664699677416e-30,-9.490963556907623e-16
26.6,2.9586754905759496e-14,1.5976662287870988e-30,-9.491016489248907e-16
26.62,2.958676184213528e-14,1.5976596455413966e-30,-9.490786286060783e-16
26.64,2.958676651370187e-14,1.5976552118757236e-30,-9.49077194692333e-16
26.66,2.9586766328438444e-14,1.5976553877097024e-30,-9.490751591501421e-16
26.68,2.9586770079059657e-14,1.5976518280828458e-30,-9.490744563225177e-16
26.7,2.9586772925589285e-14,1.597649126503382e-30,-9.490788315512274e-16
26.72,2.958677715306682e-14,1.5976451142884708e-30,-9.4908530644161e-16
26.74,2.9586780794629374e-14,1.5976416581379622e-30,-9.490883386017647e-16
26.76,2.9586779564463213e-14,1.597642825673215e-30,-9.490811765771986e-16
26.78,2.9586788445041705e-14,1.5976343973195055e-30,-9.490827211124512e-16
26.8,2.958679129720946e-14,1.5976316903615498e-30,-9.49102310517604e-16
26.82,2.958679309489671e-14,1.5976299841703593e-30,-9.490887552306527e-16
26.84,2.9586793206959356e-14,1.597629877808743e-30,-9.490931607695125e-16
26.86,2.958679463512301e-14,1.597628522356461e-30,-9.49097040114893e-16
26.88,2.9586796194845185e-14,1.5976270420341548e-30,-9.490996278842826e-16
26.9,2.9586796699867455e-14,1.59762656271168e-30,-9.490902688105143e-16
26.92,2.9586801725629e-14,1.597621792780049e-30,-9.490989418909025e-16
26.94,2.9586807315066543e-14,1.597616487890277e-30,-9.490910226573391e-16
26.96,2.958680792707256e-14,1.5976159070523487e-30,-9.490927989720583e-16
26.98,2.958680996885482e-14,1.5976139692138004e-30,-9.490905587465108e-16
27.0,2.9586809778623425e-14,1.5976141497512858e-30,-9.490850742715784e-16
27.02,2.958681463287358e-14,1.597609542684908e-30,-9.49078063933668e-16
27.04,2.9586818003729174e-14,1.5976063434757315e-30,-9.490853396111127e-16
