time,P_00,P_01,P_02,P_03,P_10,P_11,P_12,P_13,P_20,P_21,P_22,P_23,P_30,P_31,P_32,P_33
25.62,0.010000160000000001,-1.518577379464327e-22,3.624036143466986e-22,0.0,-1.518577379464327e-22,0.01000000001457713,3.8180007337832413e-07,0.0,3.624036143466986e-22,3.8180007337832413e-07,0.01000044,-1.9999999999999575e-05,0.0,0.0,-1.9999999999999575e-05,0.0010000200000000001
25.64,0.010000320000000002,-3.037202874484342e-22,4.658424902282519e-22,-2.068603754915609e-25,-3.037202874484342e-22,0.010000000024085182,4.907751741728954e-07,-2.1793189530993184e-10,4.658424902282519e-22,4.907751741728954e-07,0.010001680007999999,-4.000039999999915e-05,-2.068603754915609e-25,-2.1793189530993184e-10,-4.000039999999915e-05,0.0010000400000000002
25.66,0.010000480000000003,-4.548375755801098e-22,2.716409164342546e-21,-9.20696850440384e-24,-4.548375755801098e-22,0.010000000818742262,2.86179601199936e-06,-9.699741148857358e-09,2.716409164342546e-21,2.86179601199936e-06,0.010003720039999999,-6.000119999999873e-05,-9.20696850440384e-24,-9.699741148857358e-09,-6.000119999999873e-05,0.0010000600000000003
25.68,0.010000640000000003,-6.07000612100967e-22,-2.1477930832640815e-21,1.996558046302599e-23,-6.07000612100967e-22,0.010000000511680717,-2.26274662925186e-06,2.1034172353843134e-08,-2.1477930832640815e-21,-2.26274662925186e-06,0.010006560111999999,-8.00023999999983e-05,1.996558046302599e-23,2.1034172353843134e-08,-8.00023999999983e-05,0.0010000800000000004
25.7,0.010000800000000004,-7.582941267245899e-22,-3.1791713448651196e-21,2.820693442121649e-23,-7.582941267245899e-22,0.010000001120679362,-3.349326013041806e-06,2.9716617620417333e-08,-3.1791713448651196e-21,-3.349326013041806e-06,0.01001020024,-0.00010000399999999789,2.820693442121649e-23,2.9716617620417333e-08,-0.00010000399999999789,0.0010001000000000005
25.72,0.010000960000000005,-9.07186905899158e-22,-6.1987972262549275e-21,5.836196936533383e-23,-9.07186905899158e-22,0.01000000425890491,-6.530567417512964e-06,6.148560142358566e-08,-6.1987972262549275e-21,-6.530567417512964e-06,0.010014640439999998,-0.00012000599999999747,5.836196936533383e-23,6.148560142358566e-08,-0.00012000599999999747,0.0010001200000000006
25.74,0.010001120000000006,-1.06173094150948e-21,-3.609011366001734e-21,2.7321871662519754e-23,-1.06173094150948e-21,0.010000001443409146,-3.802171804623505e-06,2.878418479459137e-08,-3.609011366001734e-21,-3.802171804623505e-06,0.010019880727999997,-0.00014000839999999705,2.7321871662519754e-23,2.878418479459137e-08,-0.00014000839999999705,0.0010001400000000007
25.76,0.010001280000000006,-1.2145881655718197e-21,-1.910727160149716e-21,3.5906401980658574e-24,-1.2145881655718197e-21,0.01000000040500596,-2.0129925339354284e-06,3.782817380472388e-09,-1.910727160149716e-21,-2.0129925339354284e-06,0.010025921119999998,-0.0001600112000000002,3.5906401980658574e-24,3.782817380472388e-09,-0.0001600112000000002,0.0010001600000000008
25.78,0.010001440000000007,-1.365969710214846e-21,-2.883832604989041e-21,1.9115058914515406e-23,-1.365969710214846e-21,0.01000000092126307,-3.0381802405046846e-06,2.0138129442636048e-08,-2.883832604989041e-21,-3.0381802405046846e-06,0.010032761631999997,-0.0001800143999999998,1.9115058914515406e-23,2.0138129442636048e-08,-0.0001800143999999998,0.001000180000000001
25.8,0.010001600000000008,-1.5179823429396658e-21,2.6422787424074633e-21,-8.00093495296952e-23,-1.5179823429396658e-21,0.010000000772655188,2.7836980035526104e-06,-8.429158626482635e-08,2.6422787424074633e-21,2.7836980035526104e-06,0.010040402279999996,-0.0002000179999999994,-8.00093495296952e-23,-8.429158626482635e-08,-0.0002000179999999994,0.001000200000000001
25.82,0.010001760000000009,-1.6705341616202935e-21,7.070088537248727e-22,-4.1439720983223665e-23,-1.6705341616202935e-21,0.0100000000560032,7.448491724286245e-07,-4.3657645469937356e-08,7.070088537248727e-22,7.448491724286245e-07,0.010048843079999994,-0.000220021999999999,-4.1439720983223665e-23,-4.3657645469937356e-08,-0.000220021999999999,0.001000220000000001
25.84,0.01000192000000001,-1.8212373757404352e-21,-3.413316596610775e-21,4.875451309015424e-23,-1.8212373757404352e-21,0.010000001286896239,-3.5960031176806e-06,5.1363937715967574e-08,-3.413316596610775e-21,-3.5960031176806e-06,0.010058084047999995,-0.0002400263999999986,4.875451309015424e-23,5.1363937715967574e-08,-0.0002400263999999986,0.0010002400000000012
25.86,0.01000208000000001,-1.9732063623678465e-21,-3.2751607546881364e-21,4.5435872542440613e-23,-1.9732063623678465e-21,0.010000001184270468,-3.4504529396593464e-06,4.7867677870663726e-08,-3.2751607546881364e-21,-3.4504529396593464e-06,0.010068125199999995,-0.0002600311999999982,4.5435872542440613e-23,4.7867677870663726e-08,-0.0002600311999999982,0.0010002600000000013
25.88,0.010002240000000011,-2.1197955051904086e-21,-7.8268739602611e-21,1.6290960194295325e-22,-2.1197955051904086e-21,0.010000006749426912,-8.24578159281762e-06,1.7162880146208935e-07,-7.8268739602611e-21,-8.24578159281762e-06,0.010078966551999994,-0.0002800363999999978,1.6290960194295325e-22,1.7162880146208935e-07,-0.0002800363999999978,0.0010002800000000014
25.9,0.010002400000000012,-2.2736162483872693e-21,-6.530353656945162e-21,1.2681630408192978e-22,-2.2736162483872693e-21,0.010000004695935405,-6.879869313397162e-06,1.3360372879098393e-07,-6.530353656945162e-21,-6.879869313397162e-06,0.010090608119999993,-0.0003000419999999974,1.2681630408192978e-22,1.3360372879098393e-07,-0.0003000419999999974,0.0010003000000000015
25.92,0.010002560000000013,-2.4276525211417166e-21,-4.682471254422511e-21,7.182721434225108e-23,-2.4276525211417166e-21,0.010000002415378831,-4.933085095614182e-06,7.567152925852683e-08,-4.682471254422511e-21,-4.933085095614182e-06,0.010103049919999996,-0.00032004800000000057,7.182721434225108e-23,7.567152925852683e-08,-0.00032004800000000057,0.0010003200000000016
